ticker,metric,period_end,period_type,value,unit,fy,fp,form,source,retrieved
ALB,eps,2008-12-31,A,2.09,USD/shares,2010,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2009-06-30,Q,0.42,USD/shares,2010,Q2,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2009-09-30,Q,0.57,USD/shares,2010,Q3,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2009-12-31,A,1.94,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2010-03-31,Q,0.69,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2010-06-30,Q,0.89,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2010-09-30,Q,1.02,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2010-12-31,A,3.43,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2010-12-31,Q,0.92,USD/shares,2011,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2011-03-31,Q,1.2,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2011-06-30,Q,1.24,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2011-09-30,Q,1.33,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2011-12-31,A,4.28,USD/shares,,,8-K,SEC EDGAR,2026-06-15
ALB,eps,2011-12-31,Q,0.51,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2012-03-31,Q,1.27,USD/shares,,,8-K,SEC EDGAR,2026-06-15
ALB,eps,2012-06-30,Q,0.56,USD/shares,,,8-K,SEC EDGAR,2026-06-15
ALB,eps,2012-09-30,Q,1.22,USD/shares,,,8-K,SEC EDGAR,2026-06-15
ALB,eps,2012-12-31,A,3.47,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2012-12-31,Q,0.42,USD/shares,,,8-K,SEC EDGAR,2026-06-15
ALB,eps,2013-03-31,Q,0.94,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2013-06-30,Q,0.98,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2013-09-30,Q,1.11,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2013-12-31,A,4.9,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2013-12-31,Q,1.91,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2014-03-31,Q,0.71,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2014-06-30,Q,0.28,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2014-09-30,Q,0.93,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2014-12-31,A,1.69,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2014-12-31,Q,-0.24,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2015-03-31,Q,0.4,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2015-06-30,Q,0.46,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2015-09-30,Q,0.58,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2015-12-31,A,3,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2015-12-31,Q,1.55,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2016-03-31,Q,2.02,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2016-06-30,Q,-2.78,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2016-09-30,Q,1.13,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2016-12-31,A,5.68,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2016-12-31,Q,5.3,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2017-03-31,Q,0.45,USD/shares,2018,Q1,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2017-06-30,Q,0.92,USD/shares,2018,Q2,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2017-09-30,Q,1.06,USD/shares,2018,Q3,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2017-12-31,A,0.49,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2018-03-31,Q,1.18,USD/shares,2019,Q1,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2018-06-30,Q,2.73,USD/shares,2019,Q2,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2018-09-30,Q,1.2,USD/shares,2019,Q3,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2018-12-31,A,6.34,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2019-03-31,Q,1.26,USD/shares,2020,Q1,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2019-06-30,Q,1.45,USD/shares,2020,Q2,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2019-09-30,Q,1.46,USD/shares,2020,Q3,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2019-12-31,A,5.02,USD/shares,2021,FY,10-K,SEC EDGAR,2026-06-15
ALB,eps,2020-03-31,Q,1.01,USD/shares,2021,Q1,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2020-06-30,Q,0.8,USD/shares,2021,Q2,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2020-09-30,Q,0.92,USD/shares,2021,Q3,10-Q,SEC EDGAR,2026-06-15
ALB,eps,2020-12-31,A,3.52,USD/shares,2021,FY,10-K,SEC EDGAR,2026-06-15
