col,period,value,release
ISM_MFG_PMI,2025-09,49.1,manufacturing-pmi-at-49-1-september-2025-ism-manufacturing-pmi-report-302571530.html
ISM_MFG_PMI,2025-10,48.7,manufacturing-pmi-at-48-7-october-2025-ism-manufacturing-pmi-report-302601422.html
ISM_MFG_PMI,2025-11,48.2,manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html
ISM_MFG_PMI,2025-12,47.9,manufacturing-pmi-at-47-9-december-2025-ism-manufacturing-pmi-report-302649307.html
ISM_MFG_PMI,2026-01,52.6,manufacturing-pmi-at-52-6-january-2026-ism-manufacturing-pmi-report-302675443.html
ISM_MFG_PMI,2026-02,52.4,manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html
ISM_MFG_PMI,2026-03,52.7,manufacturing-pmi-at-52-7-march-2026-ism-manufacturing-pmi-report-302730721.html
ISM_MFG_PMI,2026-04,52.7,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_PMI,2026-05,54.0,manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html
ISM_MFG_PMI,2026-06,53.3,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_PMI,2026-07,55.6,manufacturing-pmi-at-55-6-july-2026-ism-manufacturing-pmi-report-302840669.html
ISM_MFG_PMI,2026-08,54.6,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
ISM_SVC_PMI,2025-09,50.0,services-pmi-at-50-september-2025-ism-services-pmi-report-302574151.html
ISM_SVC_PMI,2025-10,52.4,services-pmi-at-52-4-october-2025-ism-services-pmi-report-302604583.html
ISM_SVC_PMI,2025-11,52.6,services-pmi-at-52-6-november-2025-ism-services-pmi-report-302630958.html
ISM_SVC_PMI,2025-12,54.4,services-pmi-at-54-4-december-2025-ism-services-pmi-report-302654304.html
ISM_SVC_PMI,2026-01,53.8,services-pmi-at-53-8-january-2026-ism-services-pmi-report-302678227.html
ISM_SVC_PMI,2026-02,56.1,services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html
ISM_SVC_PMI,2026-03,54.0,services-pmi-at-54-march-2026-ism-services-pmi-report-302734026.html
ISM_SVC_PMI,2026-04,53.6,services-pmi-at-53-6-april-2026-ism-services-pmi-report-302761674.html
ISM_SVC_PMI,2026-05,54.5,services-pmi-at-54-5-may-2026-ism-services-pmi-report-302789082.html
ISM_SVC_PMI,2026-06,54.0,services-pmi-at-54-june-2026-ism-services-pmi-report-302817275.html
ISM_SVC_PMI,2026-07,54.1,services-pmi-at-54-1-july-2026-ism-services-pmi-report-302843134.html
ISM_SVC_PMI,2026-08,55.4,services-pmi-at-55-4-august-2026-ism-services-pmi-report-302868046.html
ISM_MFG_NEWORD,2026-01,57.1,manufacturing-pmi-at-52-6-january-2026-ism-manufacturing-pmi-report-302675443.html
ISM_MFG_NEWORD,2026-02,55.8,manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html
ISM_MFG_NEWORD,2026-03,53.5,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_NEWORD,2026-04,54.1,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_NEWORD,2026-05,56.8,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_NEWORD,2026-06,56.0,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_NEWORD,2026-07,56.7,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
ISM_MFG_NEWORD,2026-08,53.7,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
ISM_MFG_INVENTORIES,2026-01,47.6,manufacturing-pmi-at-52-6-january-2026-ism-manufacturing-pmi-report-302675443.html
ISM_MFG_INVENTORIES,2026-02,48.8,manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html
ISM_MFG_INVENTORIES,2026-03,47.1,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_INVENTORIES,2026-04,49.0,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_INVENTORIES,2026-05,49.9,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_INVENTORIES,2026-06,51.4,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_INVENTORIES,2026-07,51.2,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
ISM_MFG_INVENTORIES,2026-08,50.6,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
ISM_MFG_PRICES,2026-01,59.0,manufacturing-pmi-at-52-6-january-2026-ism-manufacturing-pmi-report-302675443.html
ISM_MFG_PRICES,2026-02,70.5,manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html
ISM_MFG_PRICES,2026-03,78.3,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_PRICES,2026-04,84.6,manufacturing-pmi-at-52-7-april-2026-ism-manufacturing-pmi-report-302759226.html
ISM_MFG_PRICES,2026-05,82.1,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_PRICES,2026-06,73.0,manufacturing-pmi-at-53-3-june-2026-ism-manufacturing-pmi-report-302814991.html
ISM_MFG_PRICES,2026-07,71.1,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
ISM_MFG_PRICES,2026-08,71.1,manufacturing-pmi-at-54-6-august-2026-ism-manufacturing-pmi-report-302865127.html
