Indicator,Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Consumer Confidence
Country,France,United Kingdom,Australia,Canada,Italy,United States,China,Japan,Germany,Canada,United States,Australia,United Kingdom,France,Germany,Italy,Japan,Australia,Canada,Switzerland,China,Germany,Eurozone,France,United Kingdom,Italy,Japan,United States,Australia,Canada,China,France,Germany,Italy,Japan,Switzerland,United Kingdom,United States,Eurozone
Date,FRA_CLI,GBR_CLI,AUS_CLI,CAN_CLI,ITA_CLI,USA_CLI,CHN_CLI,JPN_CLI,DEU_CLI,CAN_UNEMPLOYMENT,USA_UNEMPLOYMENT,AUS_UNEMPLOYMENT,GBR_UNEMPLOYMENT,FRA_UNEMPLOYMENT,DEU_UNEMPLOYMENT,ITA_UNEMPLOYMENT,JPN_UNEMPLOYMENT,AUS_CPI,CAN_CPI,CHE_CPI,CHN_CPI,DEU_CPI,EA19_CPI,FRA_CPI,GBR_CPI,ITA_CPI,JPN_CPI,USA_CPI,AUS_GDP_GROWTH,CAN_GDP_GROWTH,CHN_GDP_GROWTH,FRA_GDP_GROWTH,DEU_GDP_GROWTH,ITA_GDP_GROWTH,JPN_GDP_GROWTH,CHE_GDP_GROWTH,GBR_GDP_GROWTH,USA_GDP_GROWTH,EA19_CONSUMER_CONF
1999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,
2000-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,
2000-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,
2000-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,
2000-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,
2000-02-04,102.3572,100.2513,100.6008,100.9159,101.4555,101.3735,99.7965,101.0714,101.3835,6.8000,4.0000,6.7681,5.8000,10.4000,8.2000,10.6000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4069
2000-02-11,102.3572,100.2513,100.6008,100.9159,101.4555,101.3735,99.7965,101.0714,101.3835,6.8000,4.0000,6.7681,5.8000,10.4000,8.2000,10.6000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4069
2000-02-18,102.3572,100.2513,100.6008,100.9159,101.4555,101.3735,99.7965,101.0714,101.3835,6.8000,4.0000,6.7681,5.8000,10.4000,8.2000,10.6000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4069
2000-02-25,102.3572,100.2513,100.6008,100.9159,101.4555,101.3735,99.7965,101.0714,101.3835,6.8000,4.0000,6.7681,5.8000,10.4000,8.2000,10.6000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4069
2000-03-03,102.5310,100.1997,100.4394,101.0562,101.5766,101.3081,99.7436,101.1746,101.5639,6.9000,4.1000,6.6191,5.8000,10.2000,8.1000,10.6000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4425
2000-03-10,102.5310,100.1997,100.4394,101.0562,101.5766,101.3081,99.7436,101.1746,101.5639,6.9000,4.1000,6.6191,5.8000,10.2000,8.1000,10.6000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4425
2000-03-17,102.5310,100.1997,100.4394,101.0562,101.5766,101.3081,99.7436,101.1746,101.5639,6.9000,4.1000,6.6191,5.8000,10.2000,8.1000,10.6000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4425
2000-03-24,102.5310,100.1997,100.4394,101.0562,101.5766,101.3081,99.7436,101.1746,101.5639,6.9000,4.1000,6.6191,5.8000,10.2000,8.1000,10.6000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4425
2000-03-31,102.6869,100.2273,100.2273,101.1600,101.6740,101.2119,99.7173,101.2293,101.7568,6.9000,4.0000,6.5652,5.7000,10.1000,8.1000,10.5000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4329
2000-04-07,102.6869,100.2273,100.2273,101.1600,101.6740,101.2119,99.7173,101.2293,101.7568,6.9000,4.0000,6.5652,5.7000,10.1000,8.1000,10.5000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4329
2000-04-14,102.6869,100.2273,100.2273,101.1600,101.6740,101.2119,99.7173,101.2293,101.7568,6.9000,4.0000,6.5652,5.7000,10.1000,8.1000,10.5000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4329
2000-04-21,102.6869,100.2273,100.2273,101.1600,101.6740,101.2119,99.7173,101.2293,101.7568,6.9000,4.0000,6.5652,5.7000,10.1000,8.1000,10.5000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4329
2000-04-28,102.6869,100.2273,100.2273,101.1600,101.6740,101.2119,99.7173,101.2293,101.7568,6.9000,4.0000,6.5652,5.7000,10.1000,8.1000,10.5000,4.9000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.4329
2000-05-05,102.8090,100.2989,99.9929,101.2150,101.7424,101.0937,99.6970,101.2356,101.9610,6.7000,3.8000,6.3764,5.6000,9.9000,8.0000,10.3000,4.8000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3851
2000-05-12,102.8090,100.2989,99.9929,101.2150,101.7424,101.0937,99.6970,101.2356,101.9610,6.7000,3.8000,6.3764,5.6000,9.9000,8.0000,10.3000,4.8000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3851
2000-05-19,102.8090,100.2989,99.9929,101.2150,101.7424,101.0937,99.6970,101.2356,101.9610,6.7000,3.8000,6.3764,5.6000,9.9000,8.0000,10.3000,4.8000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3851
2000-05-26,102.8090,100.2989,99.9929,101.2150,101.7424,101.0937,99.6970,101.2356,101.9610,6.7000,3.8000,6.3764,5.6000,9.9000,8.0000,10.3000,4.8000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3851
2000-06-02,102.8942,100.3742,99.7660,101.2285,101.7736,100.9480,99.6584,101.1963,102.1512,6.6000,4.0000,6.4144,5.5000,9.7000,8.0000,10.3000,4.6000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3354
2000-06-09,102.8942,100.3742,99.7660,101.2285,101.7736,100.9480,99.6584,101.1963,102.1512,6.6000,4.0000,6.4144,5.5000,9.7000,8.0000,10.3000,4.6000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3354
2000-06-16,102.8942,100.3742,99.7660,101.2285,101.7736,100.9480,99.6584,101.1963,102.1512,6.6000,4.0000,6.4144,5.5000,9.7000,8.0000,10.3000,4.6000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3354
2000-06-23,102.8942,100.3742,99.7660,101.2285,101.7736,100.9480,99.6584,101.1963,102.1512,6.6000,4.0000,6.4144,5.5000,9.7000,8.0000,10.3000,4.6000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.3354
2000-06-30,102.9475,100.4245,99.5723,101.1973,101.7880,100.7837,99.5845,101.1289,102.2976,6.7000,4.0000,6.1149,5.3000,9.5000,8.0000,10.2000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.2573
2000-07-07,102.9475,100.4245,99.5723,101.1973,101.7880,100.7837,99.5845,101.1289,102.2976,6.7000,4.0000,6.1149,5.3000,9.5000,8.0000,10.2000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.2573
2000-07-14,102.9475,100.4245,99.5723,101.1973,101.7880,100.7837,99.5845,101.1289,102.2976,6.7000,4.0000,6.1149,5.3000,9.5000,8.0000,10.2000,4.7000,,,,,,,,,,,,4.4000,5.1000,7.8000,3.3000,2.1000,1.7000,-0.3000,1.6000,3.1000,4.8000,102.2573
