Date,DRTSCIS,DRTSCLCC,GACDISA066MSFRBNY
2000-01-07,9.4,4.8,
2000-01-14,9.4,4.8,
2000-01-21,9.4,4.8,
2000-01-28,9.4,4.8,
2000-02-04,9.4,4.8,
2000-02-11,9.4,4.8,
2000-02-18,9.4,4.8,
2000-02-25,9.4,4.8,
2000-03-03,9.4,4.8,
2000-03-10,9.4,4.8,
2000-03-17,9.4,4.8,
2000-03-24,9.4,4.8,
2000-03-31,9.4,4.8,
2000-04-07,21.4,2.6,
2000-04-14,21.4,2.6,
2000-04-21,21.4,2.6,
2000-04-28,21.4,2.6,
2000-05-05,21.4,2.6,
2000-05-12,21.4,2.6,
2000-05-19,21.4,2.6,
2000-05-26,21.4,2.6,
2000-06-02,21.4,2.6,
2000-06-09,21.4,2.6,
2000-06-16,21.4,2.6,
2000-06-23,21.4,2.6,
2000-06-30,21.4,2.6,
2000-07-07,23.6,-2.6,
2000-07-14,23.6,-2.6,
2000-07-21,23.6,-2.6,
2000-07-28,23.6,-2.6,
2000-08-04,23.6,-2.6,
2000-08-11,23.6,-2.6,
2000-08-18,23.6,-2.6,
2000-08-25,23.6,-2.6,
2000-09-01,23.6,-2.6,
2000-09-08,23.6,-2.6,
2000-09-15,23.6,-2.6,
2000-09-22,23.6,-2.6,
2000-09-29,23.6,-2.6,
2000-10-06,27.3,8.3,
2000-10-13,27.3,8.3,
2000-10-20,27.3,8.3,
2000-10-27,27.3,8.3,
2000-11-03,27.3,8.3,
2000-11-10,27.3,8.3,
2000-11-17,27.3,8.3,
2000-11-24,27.3,8.3,
2000-12-01,27.3,8.3,
2000-12-08,27.3,8.3,
2000-12-15,27.3,8.3,
2000-12-22,27.3,8.3,
2000-12-29,27.3,8.3,
2001-01-05,45.5,11.8,
2001-01-12,45.5,11.8,
2001-01-19,45.5,11.8,
2001-01-26,45.5,11.8,
2001-02-02,45.5,11.8,
2001-02-09,45.5,11.8,
2001-02-16,45.5,11.8,
2001-02-23,45.5,11.8,
2001-03-02,45.5,11.8,
2001-03-09,45.5,11.8,
2001-03-16,45.5,11.8,
2001-03-23,45.5,11.8,
2001-03-30,45.5,11.8,
2001-04-06,36.4,20.0,
2001-04-13,36.4,20.0,
2001-04-20,36.4,20.0,
2001-04-27,36.4,20.0,
2001-05-04,36.4,20.0,
2001-05-11,36.4,20.0,
2001-05-18,36.4,20.0,
2001-05-25,36.4,20.0,
2001-06-01,36.4,20.0,
2001-06-08,36.4,20.0,
2001-06-15,36.4,20.0,
2001-06-22,36.4,20.0,
2001-06-29,36.4,20.0,
2001-07-06,31.6,11.4,-13.3
2001-07-13,31.6,11.4,-13.3
2001-07-20,31.6,11.4,-13.3
2001-07-27,31.6,11.4,-13.3
2001-08-03,31.6,11.4,-8.0
2001-08-10,31.6,11.4,-8.0
2001-08-17,31.6,11.4,-8.0
2001-08-24,31.6,11.4,-8.0
2001-08-31,31.6,11.4,-8.0
2001-09-07,31.6,11.4,-12.5
2001-09-14,31.6,11.4,-12.5
2001-09-21,31.6,11.4,-12.5
2001-09-28,31.6,11.4,-12.5
2001-10-05,40.4,20.0,-14.7
2001-10-12,40.4,20.0,-14.7
2001-10-19,40.4,20.0,-14.7
2001-10-26,40.4,20.0,-14.7
2001-11-02,40.4,20.0,-21.5
2001-11-09,40.4,20.0,-21.5
2001-11-16,40.4,20.0,-21.5
2001-11-23,40.4,20.0,-21.5
2001-11-30,40.4,20.0,-21.5
2001-12-07,40.4,20.0,-9.8
2001-12-14,40.4,20.0,-9.8
2001-12-21,40.4,20.0,-9.8
2001-12-28,40.4,20.0,-9.8
2002-01-04,41.8,18.2,1.4
2002-01-11,41.8,18.2,1.4
2002-01-18,41.8,18.2,1.4
2002-01-25,41.8,18.2,1.4
2002-02-01,41.8,18.2,13.3
2002-02-08,41.8,18.2,13.3
2002-02-15,41.8,18.2,13.3
2002-02-22,41.8,18.2,13.3
2002-03-01,41.8,18.2,13.8
2002-03-08,41.8,18.2,13.8
2002-03-15,41.8,18.2,13.8
2002-03-22,41.8,18.2,13.8
2002-03-29,41.8,18.2,13.8
2002-04-05,14.5,8.6,20.2
2002-04-12,14.5,8.6,20.2
2002-04-19,14.5,8.6,20.2
2002-04-26,14.5,8.6,20.2
2002-05-03,14.5,8.6,12.9
2002-05-10,14.5,8.6,12.9
2002-05-17,14.5,8.6,12.9
2002-05-24,14.5,8.6,12.9
2002-05-31,14.5,8.6,12.9
2002-06-07,14.5,8.6,8.9
2002-06-14,14.5,8.6,8.9
2002-06-21,14.5,8.6,8.9
2002-06-28,14.5,8.6,8.9
2002-07-05,5.5,14.7,-1.9
2002-07-12,5.5,14.7,-1.9
2002-07-19,5.5,14.7,-1.9
2002-07-26,5.5,14.7,-1.9
2002-08-02,5.5,14.7,8.2
2002-08-09,5.5,14.7,8.2
