name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
S&P 500,Equity,Equity Large Cap,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^GSPC,SPY,,,,,,,30/12/1927
Dow Jones Industrial Average,Equity,Equity Large Cap,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^DJI,DIA,,,,,,,02/01/1992
NASDAQ Composite,Equity,Equity Broad,North America,United States,N/A,Broad,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^IXIC,QQQ,,,,,,,05/02/1971
NYSE Composite,Equity,Equity Broad,North America,United States,N/A,Broad,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^NYA,,,,,,,,31/12/1965
Russell 1000,Equity,Equity Large Cap,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RUI,IWB,,,,,,,10/12/1992
S&P MidCap 400,Equity,Equity Mid Cap,North America,United States,N/A,Mid,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^MID,MDY,,,,,,,02/01/1981
Russell 2000,Equity,Equity Small Cap,North America,United States,N/A,Small,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RUT,IWM,,,,,,,10/09/1987
S&P SmallCap 600,Equity,Equity Small Cap,North America,United States,N/A,Small,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP600,IJR,,,,,,,03/01/1989
S&P 500 Value,Equity,Equity Large Cap (Value),North America,United States,Value,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500V,IVE,,,,,,,26/05/2000
S&P 500 Growth,Equity,Equity Large Cap (Growth),North America,United States,Growth,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SP500G,IVW,,,,,,,26/05/2000
Russell 1000 Value,Equity,Equity Large Cap (Value),North America,United States,Value,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RLV,IWD,,,,,,,30/09/2002
Russell 1000 Growth,Equity,Equity Large Cap (Growth),North America,United States,Growth,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RLG,IWF,,,,,,,30/09/2002
Russell 2000 Value,Equity,Equity Small Cap (Value),North America,United States,Value,Small,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RUJ,IWN,,,,,,,30/09/2002
Russell 2000 Growth,Equity,Equity Small Cap (Growth),North America,United States,Growth,Small,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RUO,IWO,,,,,,,30/09/2002
